trt	rep	ear_plnt	earlength	grainweight	grainyield
T1	R1	50.2	20.5	3.9	104.9
T1	R2	41.40	20.60	4.00	84.30
T1	R3	36.20	20.50	3.80	77.00
T1	R4	39.80	19.60	3.90	76.50
T2	R1	41.80	19.50	3.70	88.00
T2	R2	47.20	20.10	3.60	106.50
T2	R3	39.60	19.30	3.60	89.80
T2	R4	46.60	20.10	3.70	108.70
T3	R1	39.20	19.00	4.50	80.00
T3	R2	37.60	18.50	4.60	71.30
T3	R3	38.80	18.10	4.60	77.50
T3	R4	33.60	19.30	4.70	69.50
T4	R1	37.80	20.00	4.30	80.80
T4	R2	49.60	20.30	4.40	106.50
T4	R3	35.40	20.60	4.20	83.30
T4	R4	41.80	20.30	4.30	95.90
T5	R1	35.60	20.00	4.10	60.00
T5	R2	31.40	20.80	4.00	52.50
T5	R3	33.20	20.30	4.20	53.00
T5	R4	29.80	19.90	4.10	51.00
T6	R1	53.40	19.20	4.20	96.40
T6	R2	50.20	19.50	4.50	98.80
T6	R3	49.60	20.30	4.30	99.10
T6	R4	57.80	19.90	4.50	107.20
T7	R1	43.80	19.50	4.30	91.40
T7	R2	46.80	20.40	4.30	99.70
T7	R3	41.40	20.70	4.20	83.30
T7	R4	43.60	20.30	4.30	89.50
T8	R1	50.60	19.70	4.20	91.80
T8	R2	47.80	19.80	4.00	84.80
T8	R3	41.80	20.10	4.30	70.00
T8	R4	46.80	20.50	4.10	81.50
