Genotypes	SPACING	Replication	DFF	PH	PL	PW	HI	TW	MILL	HRR	GY
G1	S1	R1	122	105	21.2	81	42.6	22	86.4	30.8	61.2
G1	S1	R2	120	90.4	22.4	86	45.5	20	67.5	39.3	65.3
G1	S1	R3	120	98.6	22.8	79	43.2	20	70.5	42.3	61.3
G2	S1	R1	139	109	24	72	36.5	16	74.9	43.3	67.6
G2	S1	R2	133	103	24.6	67	39.6	19	67.2	43.1	70.6
G2	S1	R3	132	107	24.4	77	37.9	20	71.2	47.1	71.3
G3	S1	R1	124	93.8	21.4	100	47.9	15	77.6	49.5	57.8
G3	S1	R2	128	98	21.6	102	43	16	69.2	49.7	51.6
G3	S1	R3	131	96.6	22	116	49.5	17	74.2	54.7	65.3
G4	S1	R1	127	96.6	23.1	100	56.2	16	81	44.7	63.3
G4	S1	R2	125	85.2	23.3	96	47.7	13	69.3	33.6	50.3
G4	S1	R3	130	97	23.5	100	54.4	14	75.3	35	67.2
G5	S1	R1	121	86.6	19.8	94	50	14	76	42.6	53.8
G5	S1	R2	126	96.4	19.6	93	48.8	20	54.9	35.6	48.2
G5	S1	R3	124	94.2	20.4	100	51.3	16	62.9	36.1	57.3
G1	S2	R1	117	86.8	19.1	106	52.1	14	80	35.5	78.3
G1	S2	R2	118	87.6	18.3	109	55.8	12	67.5	24.4	86
G1	S2	R3	116	89	18.3	101	57	12	72.5	23.4	84.8
G2	S2	R1	118	92.8	21.7	74	53.7	13	67.1	36.6	71.8
G2	S2	R2	117	86.8	21.3	70	52.9	15	68.3	36.6	78.5
G2	S2	R3	118	93.4	21.9	79	56.4	12	70.3	38.6	74.9
G3	S2	R1	122	92	21.4	73	54.1	18	74	37.2	72
G3	S2	R2	116	86.2	22.2	79	53.1	16	62	35.2	70.3
G3	S2	R3	126	90.6	22	81	58	20	68	41.2	77.3
G4	S2	R1	116	85.6	19.5	91	55.4	16	74.7	48.8	68.1
G4	S2	R2	110	80	19.1	95	62.6	18	65.6	42.2	73.4
G4	S2	R3	114	84.2	20	100	56	17	71.6	45.2	66.6
G5	S2	R1	125	94.6	20.7	100	54.5	13	80.6	35.9	71.8
G5	S2	R2	128	87.2	20.2	106	59.1	12	61.3	31.5	74.3
G5	S2	R3	133	87.6	19.8	111	55.9	12	64.3	30.6	68.5
G1	S3	R1	124	88	22	75	47.7	13	86.2	47.2	69.4
G1	S3	R2	123	91.8	21.7	74	51.6	14	64.7	51.6	75.6
G1	S3	R3	132	99.4	22.5	76	50.7	16	66.7	53.6	66.3
G2	S3	R1	132	102	19.9	79	40.2	25	77.2	36.8	54.2
G2	S3	R2	128	100	19.7	76	37.2	24	67.5	41.9	51.5
G2	S3	R3	133	104	20.1	82	43.9	24	72.5	46.9	61.2
G3	S3	R1	123	93	22	92	49.1	20	81.9	49.7	53.1
G3	S3	R2	130	85.2	22	96	55.2	20	66	44.7	55.5
G3	S3	R3	132	84	22.2	96	58.7	19	74	52.7	65.3
G4	S3	R1	124	94	23.7	99	51	18	79.1	39.7	73.4
G4	S3	R2	132	102	24	95	54.4	20	64.6	35.9	76.3
G4	S3	R3	134	101	23.6	93	54.6	21	70.6	32	72.3
G5	S3	R1	137	107	21	91	45.2	19	73.8	45.2	72.6
G5	S3	R2	127	97.4	21.2	93	49	14	69	45.8	78.8
G5	S3	R3	128	103	21.8	89	55	18	72	48.8	84.3
